REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Apr-55,Canada,2016A000011124,Persons,249,units,0,v1,1,15620000,,,,0
Apr-55,Newfoundland_and_Labrador,2016A000210,Persons,249,units,0,v2,2,404000,,,,0
Apr-55,Prince_Edward_Island,2016A000211,Persons,249,units,0,v8,3,100000,,,,0
Apr-55,Nova_Scotia,2016A000212,Persons,249,units,0,v9,4,681000,,,,0
Apr-55,New_Brunswick,2016A000213,Persons,249,units,0,v10,5,546000,,,,0
Apr-55,Quebec,2016A000224,Persons,249,units,0,v11,6,4492000,,,,0
Apr-55,Ontario,2016A000235,Persons,249,units,0,v12,7,5236000,,,,0
Apr-55,Manitoba,2016A000246,Persons,249,units,0,v13,8,837000,,,,0
Apr-55,Saskatchewan,2016A000247,Persons,249,units,0,v14,9,877000,,,,0
Apr-55,Alberta,2016A000248,Persons,249,units,0,v15,10,1084000,,,,0
Apr-55,British_Columbia,2016A000259,Persons,249,units,0,v3,11,1334000,,,,0
Apr-55,Yukon,2016A000260,Persons,249,units,0,v4,12,11000,,,,0
Apr-55,Northwest_Territories_including_Nunavut,,Persons,249,units,0,v5,13,18000,,,t,0
Jul-55,Canada,2016A000011124,Persons,249,units,0,v1,1,15736000,,,,0
Jul-55,Newfoundland_and_Labrador,2016A000210,Persons,249,units,0,v2,2,407000,,,,0
Jul-55,Prince_Edward_Island,2016A000211,Persons,249,units,0,v8,3,100000,,,,0
Jul-55,Nova_Scotia,2016A000212,Persons,249,units,0,v9,4,684000,,,,0
Jul-55,New_Brunswick,2016A000213,Persons,249,units,0,v10,5,548000,,,,0
Jul-55,Quebec,2016A000224,Persons,249,units,0,v11,6,4529000,,,,0
Jul-55,Ontario,2016A000235,Persons,249,units,0,v12,7,5278000,,,,0
Jul-55,Manitoba,2016A000246,Persons,249,units,0,v13,8,841000,,,,0
Jul-55,Saskatchewan,2016A000247,Persons,249,units,0,v14,9,879000,,,,0
Jul-55,Alberta,2016A000248,Persons,249,units,0,v15,10,1094000,,,,0
Jul-55,British_Columbia,2016A000259,Persons,249,units,0,v3,11,1347000,,,,0
Jul-55,Yukon,2016A000260,Persons,249,units,0,v4,12,11000,,,,0
Jul-55,Northwest_Territories_including_Nunavut,,Persons,249,units,0,v5,13,18000,,,t,0
Oct-55,Canada,2016A000011124,Persons,249,units,0,v1,1,15834000,,,,0
Oct-55,Newfoundland_and_Labrador,2016A000210,Persons,249,units,0,v2,2,410000,,,,0
Oct-55,Prince_Edward_Island,2016A000211,Persons,249,units,0,v8,3,100000,,,,0
Oct-55,Nova_Scotia,2016A000212,Persons,249,units,0,v9,4,688000,,,,0
Oct-55,New_Brunswick,2016A000213,Persons,249,units,0,v10,5,550000,,,,0
Oct-55,Quebec,2016A000224,Persons,249,units,0,v11,6,4557000,,,,0
Oct-55,Ontario,2016A000235,Persons,249,units,0,v12,7,5311000,,,,0
Oct-55,Manitoba,2016A000246,Persons,249,units,0,v13,8,844000,,,,0
Oct-55,Saskatchewan,2016A000247,Persons,249,units,0,v14,9,880000,,,,0
Oct-55,Alberta,2016A000248,Persons,249,units,0,v15,10,1102000,,,,0
Oct-55,British_Columbia,2016A000259,Persons,249,units,0,v3,11,1362000,,,,0
Oct-55,Yukon,2016A000260,Persons,249,units,0,v4,12,12000,,,,0
Oct-55,Northwest_Territories_including_Nunavut,,Persons,249,units,0,v5,13,18000,,,t,0
Jan-56,Canada,2016A000011124,Persons,249,units,0,v1,1,15919000,,,,0
Jan-56,Newfoundland_and_Labrador,2016A000210,Persons,249,units,0,v2,2,412000,,,,0
Jan-56,Prince_Edward_Island,2016A000211,Persons,249,units,0,v8,3,100000,,,,0
Jan-56,Nova_Scotia,2016A000212,Persons,249,units,0,v9,4,690000,,,,0
Jan-56,New_Brunswick,2016A000213,Persons,249,units,0,v10,5,552000,,,,0
Jan-56,Quebec,2016A000224,Persons,249,units,0,v11,6,4581000,,,,0
Jan-56,Ontario,2016A000235,Persons,249,units,0,v12,7,5344000,,,,0
Jan-56,Manitoba,2016A000246,Persons,249,units,0,v13,8,845000,,,,0
Jan-56,Saskatchewan,2016A000247,Persons,249,units,0,v14,9,879000,,,,0
Jan-56,Alberta,2016A000248,Persons,249,units,0,v15,10,1109000,,,,0
Jan-56,British_Columbia,2016A000259,Persons,249,units,0,v3,11,1377000,,,,0
Jan-56,Yukon,2016A000260,Persons,249,units,0,v4,12,12000,,,,0
Jan-56,Northwest_Territories_including_Nunavut,,Persons,249,units,0,v5,13,18000,,,t,0
Apr-56,Canada,2016A000011124,Persons,249,units,0,v1,1,16004000,,,,0
Apr-56,Newfoundland_and_Labrador,2016A000210,Persons,249,units,0,v2,2,414000,,,,0
Apr-56,Prince_Edward_Island,2016A000211,Persons,249,units,0,v8,3,99000,,,,0
Apr-56,Nova_Scotia,2016A000212,Persons,249,units,0,v9,4,693000,,,,0
Apr-56,New_Brunswick,2016A000213,Persons,249,units,0,v10,5,553000,,,,0
Apr-56,Quebec,2016A000224,Persons,249,units,0,v11,6,4606000,,,,0
Apr-56,Ontario,2016A000235,Persons,249,units,0,v12,7,5375000,,,,0
Apr-56,Manitoba,2016A000246,Persons,249,units,0,v13,8,848000,,,,0
Apr-56,Saskatchewan,2016A000247,Persons,249,units,0,v14,9,879000,,,,0
Apr-56,Alberta,2016A000248,Persons,249,units,0,v15,10,1118000,,,,0
Apr-56,British_Columbia,2016A000259,Persons,249,units,0,v3,11,1388000,,,,0
Apr-56,Yukon,2016A000260,Persons,249,units,0,v4,12,12000,,,,0
Apr-56,Northwest_Territories_including_Nunavut,,Persons,249,units,0,v5,13,19000,,,t,0
Jul-56,Canada,2016A000011124,Persons,249,units,0,v1,1,16123000,,,,0
Jul-56,Newfoundland_and_Labrador,2016A000210,Persons,249,units,0,v2,2,416000,,,,0
Jul-56,Prince_Edward_Island,2016A000211,Persons,249,units,0,v8,3,99000,,,,0
Jul-56,Nova_Scotia,2016A000212,Persons,249,units,0,v9,4,695000,,,,0
Jul-56,New_Brunswick,2016A000213,Persons,249,units,0,v10,5,556000,,,,0
Jul-56,Quebec,2016A000224,Persons,249,units,0,v11,6,4641000,,,,0
Jul-56,Ontario,2016A000235,Persons,249,units,0,v12,7,5423000,,,,0
Jul-56,Manitoba,2016A000246,Persons,249,units,0,v13,8,850000,,,,0
Jul-56,Saskatchewan,2016A000247,Persons,249,units,0,v14,9,881000,,,,0
Jul-56,Alberta,2016A000248,Persons,249,units,0,v15,10,1126000,,,,0
Jul-56,British_Columbia,2016A000259,Persons,249,units,0,v3,11,1405000,,,,0
Jul-56,Yukon,2016A000260,Persons,249,units,0,v4,12,12000,,,,0
Jul-56,Northwest_Territories_including_Nunavut,,Persons,249,units,0,v5,13,19000,,,t,0
Oct-56,Canada,2016A000011124,Persons,249,units,0,v1,1,16235000,,,,0
Oct-56,Newfoundland_and_Labrador,2016A000210,Persons,249,units,0,v2,2,418000,,,,0
Oct-56,Prince_Edward_Island,2016A000211,Persons,249,units,0,v8,3,99000,,,,0
Oct-56,Nova_Scotia,2016A000212,Persons,249,units,0,v9,4,695000,,,,0
Oct-56,New_Brunswick,2016A000213,Persons,249,units,0,v10,5,557000,,,,0
Oct-56,Quebec,2016A000224,Persons,249,units,0,v11,6,4671000,,,,0
Oct-56,Ontario,2016A000235,Persons,249,units,0,v12,7,5470000,,,,0
Oct-56,Manitoba,2016A000246,Persons,249,units,0,v13,8,852000,,,,0
Oct-56,Saskatchewan,2016A000247,Persons,249,units,0,v14,9,880000,,,,0
Oct-56,Alberta,2016A000248,Persons,249,units,0,v15,10,1136000,,,,0
Oct-56,British_Columbia,2016A000259,Persons,249,units,0,v3,11,1426000,,,,0
Oct-56,Yukon,2016A000260,Persons,249,units,0,v4,12,12000,,,,0
Oct-56,Northwest_Territories_including_Nunavut,,Persons,249,units,0,v5,13,19000,,,t,0
Jan-57,Canada,2016A000011124,Persons,249,units,0,v1,1,16352000,,,,0
Jan-57,Newfoundland_and_Labrador,2016A000210,Persons,249,units,0,v2,2,420000,,,,0
Jan-57,Prince_Edward_Island,2016A000211,Persons,249,units,0,v8,3,99000,,,,0
Jan-57,Nova_Scotia,2016A000212,Persons,249,units,0,v9,4,695000,,,,0
Jan-57,New_Brunswick,2016A000213,Persons,249,units,0,v10,5,558000,,,,0
Jan-57,Quebec,2016A000224,Persons,249,units,0,v11,6,4702000,,,,0
Jan-57,Ontario,2016A000235,Persons,249,units,0,v12,7,5529000,,,,0
Jan-57,Manitoba,2016A000246,Persons,249,units,0,v13,8,851000,,,,0
Jan-57,Saskatchewan,2016A000247,Persons,249,units,0,v14,9,874000,,,,0
Jan-57,Alberta,2016A000248,Persons,249,units,0,v15,10,1144000,,,,0
Jan-57,British_Columbia,2016A000259,Persons,249,units,0,v3,11,1449000,,,,0
